"Rank","Company","HQ_Country","Revenue_FY2024","Therapeutic_Focus","Primary_Entry_Department","Tier_1_Roles","Tier_2_Roles","Likely_Budget_Owner","Estimated_Deal_Complexity","Strategic_Entry_Angle","Interest_Initiator","Scientific_Validator"
"90","Innovent Biologics","China","RMB 9.42B (~$1.3B; 51.8% YoY growth; first-ever Non-IFRS net profit and positive EBITDA)","Oncology (IO + ADC strategy; PD-1, CLDN18.2, TROP2, B7H3, HER3, HER2 ADCs; bispecifics), autoimmune diseases (CD40L, OX40L, IL-4Ra/TSLP), cardiovascular/metabolic (mazdutide for obesity/T2D, tafolecimab/SINTBILO for hyperlipidemia), ophthalmology (IBI311 for thyroid eye disease)","R&D / Research & Development","Chief Medical Officer / Head of R&D; Senior Vice President, Oncology Development","Head of Regulatory Affairs; Head of Global Partnerships / Business Development; Head of Pharmacovigilance","CFO or CMO — newly profitable with RMB 2.5B R&D spend and RMB 10.2B cash position","Medium","Innovent's first profitable year, aggressive revenue targets (RMB 20B by 2027), and global MRCT ambitions (5 global Phase 3 assets by 2030) create a critical need for sophisticated B/R governance that scales with growth.","SVP Oncology Development or CMO — driven by the ""IO + ADC"" combination strategy requiring sophisticated B/R assessment and global development ambitions","Oncology development and regulatory leadership"
"91","Ascendis Pharma","Denmark","~EUR 364M (~$400M; including SKYTROFA ~EUR 202M, YORVIPATH ~EUR 29M, $100M Novo Nordisk milestone; 84% YoY volume growth for SKYTROFA)","Endocrinology rare diseases (growth hormone deficiency, hypoparathyroidism, achondroplasia), oncology (TransCon IL-2 beta/gamma), ophthalmology (emerging), metabolic diseases (via Novo Nordisk TransCon technology license)","Commercial / Business Development","Chief Medical Officer / Head of Clinical Development; Head of Regulatory Affairs","Head of Endocrinology Rare Disease Development; Head of Oncology Development; Head of Pharmacovigilance","CFO or CMO — operating expenses ~EUR 600M annually with EUR 655M cash position; still pre-profitability","Low","Ascendis's Vision 2030 strategy — three independent blockbuster products plus pipeline expansion into oncology, ophthalmology, and metabolic areas — represents a dramatic scaling challenge for B/R governance.","CMO or Head of Endocrinology Rare Disease — driven by the need to optimize three potential blockbuster programs simultaneously while entering new therapeutic areas","CMO and therapeutic area development leads"
"92","Royalty Pharma","USA","$2.26B GAAP revenue; $2.77B Royalty Receipts (13% increase YoY); $2.8B capital deployed across 8 new therapy royalty acquisitions","Diversified royalty portfolio across 45+ commercial products spanning cystic fibrosis (Vertex franchise), oncology (Imbruvica, Xtandi), neuroscience (Tysabri), HIV (Gilead franchise), immunology (Tremfya), rare diseases (Evrysdi), multiple sclerosis (frexalimab — development stage); No direct therapeutic development","Investment / Scientific Assessment","Chief Investment Officer / Head of Investments; Chief Scientific Officer / Head of Scientific Assessment","Vice President, Therapeutic Area Analyst (Oncology / Rare Disease / Immunology); Head of Portfolio Management / Risk","CEO or CFO — highly profitable business (84.8% adjusted EBITDA margin in Q1 2025) with substantial capacity for analytical tool investment","Medium","Royalty Pharma represents a uniquely high-value but unconventional opportunity for ArcaScience.","Chief Scientific Officer or Head of Investments — driven by the need for more rigorous and systematic B/R assessment across an expanding deal pipeline","Scientific assessment team and therapeutic area analysts"
"93","Emergent BioSolutions","USA","~$1.05B (including $150M settlement/divested revenue; FY2025 revenue declined to $743M reflecting divestitures; adjusted EBITDA improved to $205M/28% margin in 2025 from $183M/18% in 2024)","Biodefense (anthrax vaccines/therapeutics: BioThrax, CYFENDUS, Anthrasil, Raxibacumab; smallpox/mpox: ACAM2000), opioid overdose reversal (NARCAN Nasal Spray, 100M+ doses distributed), infectious disease vaccines (Vaxchora/cholera, Vivotif/typhoid), CDMO services","Regulatory Affairs","Chief Medical Officer / Head of Medical Affairs; Head of Regulatory Affairs","Head of CDMO / Bioservices; Head of Pharmacovigilance / Drug Safety","CFO — tight budget given ongoing transformation, debt reduction priorities","Medium","Emergent BioSolutions presents a specialized but limited opportunity.","CMO or Head of Regulatory Affairs — driven by the need to optimize government contract deliverables and support product lifecycle management","CMO and regulatory affairs leadership"
"94","Sandoz","Switzerland","$10.4B (9% growth in constant currencies; biosimilars $2.9B up 30% cc; generics $7.5B up 2% cc)","Generics (~1,300 products spanning common cold to cancer), biosimilars (immunology: adalimumab/Hyrimoz, natalizumab/Tyruko; oncology: pembrolizumab and nivolumab in late-stage clinical trials; endocrinology: somatropin/Omnitrope; ophthalmology: ranibizumab/Cimerli; bone: denosumab/Wyost/Jubbonti), antibiotics","Biosimilars","Chief Medical Officer / Head of Biopharmaceutical Development; Head of Regulatory Affairs (Global)","Head of Biosimilar Development; Head of Pharmacovigilance; Head of Portfolio Strategy / Pipeline","CFO or CMO — $2.1B core EBITDA provides budget capacity; transformation program may create both cost pressure and technology modernization opportunities","Medium","Sandoz's position as the world's leading biosimilar provider with a 28-molecule pipeline targeting $83B in LoE value makes it potentially the most strategically important biosimilar account globally.","Head of Biosimilar Development or CMO — driven by the strategic importance of pembrolizumab/nivolumab oncology biosimilar programs and portfolio-level pipeline management","CMO and biosimilar development leadership"
"95","Haleon","UK","GBP 11.2B (~$14.2B; 5.0% organic revenue growth; Power Brands 6.3% organic growth)","Consumer health — Oral Health (Sensodyne, parodontax; GBP 3.3B), Pain Relief (Advil, Panadol; GBP 2.6B), Respiratory Health (Theraflu, Otrivin; GBP 1.7B), Vitamins/Minerals/Supplements (Centrum, Caltrate; GBP 1.7B), Digestive Health (Tums), Other (Eroxon for ED — first FDA-cleared OTC ED gel)","R&D / Research & Development","Chief R&D Officer / Head of R&D; Head of Regulatory Affairs (Global)","Head of Rx-to-OTC Switch; Head of Safety / Pharmacovigilance","Chief R&D Officer or CFO — GBP 300M annual R&D budget","Medium","Haleon represents an unconventional but potentially valuable opportunity if ArcaScience can adapt its BRA platform for the consumer health context.","Head of Rx-to-OTC Switch or Chief R&D Officer — driven by the specialized B/R assessment needs of switch programs and consumer health safety governance","R&D leadership and regulatory affairs heads"
"96","Idorsia","Switzerland","CHF 113M (~$130M; QUVIVIQ product sales CHF 61M, product sales to partners CHF 47M, contract revenues CHF 5M)","CNS (insomnia/QUVIVIQ daridorexant, orexin-related disorders), cardiovascular (hypertension/TRYVIO/JERAYGO aprocitentan, selatogrel), autoimmune/immunology (cenerimod, ACT-1016-0707/LPA1 antagonist), rare diseases (lucerastat for Fabry disease)","Clinical Development","Chief Medical Officer / Head of R&D; Head of Regulatory Affairs","Head of Business Development / Partnering; Head of Pharmacovigilance","CEO or CFO — severe budget constraints; any tool investment must demonstrate immediate ROI","Low","Idorsia is a constrained-budget account where the value proposition must be extremely sharp: demonstrating that ArcaScience's BRA platform directly increases the out-licensing value of pipeline assets or reduces the development cost of reaching the next inflection point.","CMO or Head of BD/Partnering — driven by the need to maximize pipeline value for out-licensing or continued development","CMO and clinical development leads"
"97","Amphastar Pharmaceuticals","USA","$732M (operating cash flow $213.4M; strong margin expansion to 27.4% adjusted net income margin)","Specialty injectables (epinephrine, glucagon, phytonadione, lidocaine), intranasal products (BAQSIMI glucagon nasal powder), inhalation products (Primatene MIST), insulin API manufacturing, biosimilar insulins (in development)","Clinical Development","Chief Scientific Officer / Head of R&D; Head of Regulatory Affairs","Head of Clinical Development / Biosimilar Development; Head of Pharmacovigilance","CEO or CFO — strong cash flow ($213.4M operating) but historically focused on manufacturing investment","Low","Amphastar's strategic pivot from generic injectables to proprietary specialty products creates a transitional moment where the organization needs to build clinical development capabilities beyond bioequivalence studies.","CSO/Head of R&D — driven by the need to support the proprietary pipeline (AMP-105, AMP-107) with appropriate clinical development tools","R&D leadership and regulatory affairs"
"98","Kedrion Biopharma","Italy","EUR 1.578B (~$1.7B; 10% YoY growth; EBITDA EUR 232M up 28%; adjusted EBITDA EUR 279M up 20%)","Plasma-derived therapies — immunodeficiencies (immunoglobulins including Yimmugo), coagulation disorders/hemophilia (factor concentrates), neurological disorders, Rh sensitization (Anti-D Immunoglobulin/RhoGAM), critical care (Albumin), ultra-rare diseases (aceruloplasminemia — EMA Orphan Drug Designation)","Regulatory Affairs","Chief Medical Officer / Head of R&D; Head of Regulatory Affairs (Global)","Head of Pharmacovigilance / Drug Safety; Head of Plasma-Derived Product Development / Innovation","CEO or CFO — private equity (Permira) ownership may support growth investments with clear ROI","Medium","Kedrion's growth ambitions (10%+ revenue growth, Yimmugo US launch, orphan disease expansion, 100+ country footprint) require increasingly sophisticated B/R governance for a specialized plasma-derived product portfolio.","CMO/Head of R&D or Head of Regulatory Affairs — driven by expanding product portfolio (Yimmugo), orphan disease ambitions, and 100+ country regulatory complexity","CMO and regulatory/PV leadership"
"99","SK Biopharmaceuticals","South Korea","KRW 547.6B (~$378M; 54.3% YoY growth; first-ever annual net profit KRW 227B; US cenobamate revenue KRW 438.7B up 62%)","CNS — epilepsy (cenobamate/XCOPRI/ONTOZRY, highest new Rx share in US epilepsy), sleep disorders (solriamfetol), oncology (emerging pipeline); AI-based epilepsy management","Clinical Development","Chief Medical Officer / Head of Clinical Development; Head of Regulatory Affairs (Global)","Head of SK Life Science (US Operations); Head of Pharmacovigilance; Head of Digital Health / Mentis Care","CFO or CEO — first profitable year (KRW 227B net profit) provides new investment capacity","High","SK Biopharmaceuticals' transition from a single-product CNS company to a diversified CNS+oncology pipeline creates a natural inflection point for B/R governance maturation.","CMO or Head of SK Life Science — driven by cenobamate lifecycle management needs and the mandate to expand beyond epilepsy","CMO and clinical development leadership"
"100","CureVac","Germany","EUR 535M (~$590M; however, primarily driven by GSK licensing restructuring payment of EUR 400M upfront + milestones; underlying operational revenue is minimal as the company has no commercial products)","mRNA therapeutics — oncology precision immunotherapies (glioblastoma/CVGBM, squamous NSCLC/CVHNLC, personalized immunotherapies), infectious disease (urinary tract infections/UTI), mRNA technology platform licensing (GSK vaccines: influenza, COVID-19, combinations)","Clinical Development","Chief Medical Officer / Head of Clinical Development; Head of Regulatory Affairs","Chief Scientific Officer / Head of mRNA Technology; Head of Drug Safety / Clinical Pharmacology","CEO or CFO — EUR 481M cash position but must extend runway to 2028; 30%+ operational expense reduction limits discretionary spending","Low","CureVac's post-restructuring focus on mRNA precision immunotherapy — a novel modality with limited clinical precedent — creates a unique B/R assessment challenge that ArcaScience can address.","CMO or Head of Clinical Development — driven by the need to maximize the probability of success for a small number of high-stakes oncology programs post-restructuring","CMO and CSO"
